v1_lat,v1_lon,v2_lat,v2_lon,v3_lat,v3_lon,v4_lat,v4_lon,v5_lat,v5_lon
53.5511747,9.9701882,53.5511861,9.9702335,53.551205,9.9702313,53.5512238,9.9703188,53.5511997,9.9702188
53.5511606,9.9701757,53.5511479,9.9701663,53.5511638,9.9701957,53.5511589,9.9702587,53.5511169,9.9701449
53.551133,9.970141,53.5511479,9.9701663,53.5511638,9.9701957,53.5511589,9.9702587,53.5511169,9.9701449
53.551133,9.970141,53.5511479,9.9701663,53.5511638,9.9701957,53.5511589,9.9702587,53.5511169,9.9701449
53.551133,9.970141,53.5511479,9.9701663,53.5511638,9.9701957,53.5511589,9.9702587,53.5511169,9.9701449
53.551133,9.970141,53.5511479,9.9701663,53.5511638,9.9701957,53.5511589,9.9702587,53.5511169,9.9701449
53.551133,9.970141,53.5511479,9.9701663,53.5511638,9.9701957,53.5511589,9.9702587,53.5511169,9.9701449
53.551133,9.970141,53.5511479,9.9701663,53.5511638,9.9701957,53.5511589,9.9702587,53.5511169,9.9701449
53.551133,9.970141,53.5511479,9.9701663,53.5511638,9.9701957,53.5511589,9.9702587,53.5511169,9.9701449
53.551133,9.970141,53.5511479,9.9701663,53.5511638,9.9701957,53.5511589,9.9702587,53.5511169,9.9701449
53.551133,9.970141,53.5511479,9.9701663,53.5511638,9.9701957,53.5511589,9.9702587,53.5511169,9.9701449
53.551133,9.970141,53.5511479,9.9701663,53.5511638,9.9701957,53.5511589,9.9702587,53.5511169,9.9701449
53.551133,9.970141,53.5511479,9.9701663,53.5511638,9.9701957,53.5511589,9.9702587,53.5511169,9.9701449
53.551133,9.970141,53.5511479,9.9701663,53.5511638,9.9701957,53.5511589,9.9702587,53.5511169,9.9701449
53.551133,9.970141,53.5511479,9.9701663,53.5511638,9.9701957,53.5511589,9.9702587,53.5511169,9.9701449
53.551133,9.970141,53.5511479,9.9701663,53.5511638,9.9701957,53.5511589,9.9702587,53.5511169,9.9701449
53.551133,9.970141,53.5511479,9.9701663,53.5511638,9.9701957,53.5511589,9.9702587,53.5511169,9.9701449
53.551133,9.970141,53.5511479,9.9701663,53.5511638,9.9701957,53.5511589,9.9702587,53.5511169,9.9701449
53.551133,9.970141,53.5511479,9.9701663,53.5511638,9.9701957,53.5511589,9.9702587,53.5511169,9.9701449
53.551133,9.970141,53.5511479,9.9701663,53.5511638,9.9701957,53.5511589,9.9702587,53.5511169,9.9701449
53.551133,9.970141,53.5511479,9.9701663,53.5511638,9.9701957,53.5511589,9.9702587,53.5511169,9.9701449
53.551133,9.970141,53.5511479,9.9701663,53.5511638,9.9701957,53.5511589,9.9702587,53.5511169,9.9701449
53.551133,9.970141,53.5511479,9.9701663,53.5511638,9.9701957,53.5511589,9.9702587,53.5511169,9.9701449
53.551133,9.970141,53.5511479,9.9701663,53.5511638,9.9701957,53.5511589,9.9702587,53.5511169,9.9701449
53.551133,9.970141,53.5511479,9.9701663,53.5511638,9.9701957,53.5511589,9.9702587,53.5511169,9.9701449
53.551133,9.970141,53.5511479,9.9701663,53.5511638,9.9701957,53.5511589,9.9702587,53.5511169,9.9701449
53.551133,9.970141,53.5511479,9.9701663,53.5511638,9.9701957,53.5511589,9.9702587,53.5511169,9.9701449
53.551133,9.970141,53.5511479,9.9701663,53.5511638,9.9701957,53.5511589,9.9702587,53.5511169,9.9701449
53.551133,9.970141,53.5511479,9.9701663,53.5511638,9.9701957,53.5511589,9.9702587,53.5511169,9.9701449
53.551133,9.970141,53.5511479,9.9701663,53.5511638,9.9701957,53.5511589,9.9702587,53.5511169,9.9701449
53.551133,9.970141,53.5511479,9.9701663,53.5511638,9.9701957,53.5511589,9.9702587,53.5511169,9.9701449
53.551133,9.970141,53.5511479,9.9701663,53.5511638,9.9701957,53.5511589,9.9702587,53.5511169,9.9701449
53.551133,9.970141,53.5511479,9.9701663,53.5511638,9.9701957,53.5511589,9.9702587,53.5511169,9.9701449
