od,start_latitude,start_longitude,end_latitude,end_longitude,length_km_shortest_path,interv_dist_shortest_path,co2_shortest_path,length_km_best_interv_dist,interv_dist_best_interv_dist,co2_best_interv_dist,best_interv_dist_is_shortest,length_km_best_co2,interv_dist_best_co2,co2_best_co2,best_co2_is_shortest
"(243506457, 265613767)",53.5458109,9.9929683,53.5473184,9.9933957,0.707432,183.33631875,0.11897261176470587,0.707432,183.33631875,0.11897261176470587,True,0.707432,183.33631875,0.11897261176470587,True
"(256276843, 725412661)",53.5726123,9.9572471,53.5492393,10.0021255,4.939945999999999,660.9544999999999,0.6714534235294117,4.939945999999999,660.9544999999999,0.6714534235294117,True,4.939945999999999,660.9544999999999,0.6714534235294117,True
"(265613767, 1561539048)",53.5473184,9.9933957,53.560283,10.0117693,2.791012,525.3934624999999,0.404536494117647,2.7973719999999997,502.28325625,0.4014901411764705,False,2.7973719999999997,502.28325625,0.4014901411764705,False
"(3447133292, 250385909)",53.5641465,9.9732085,53.5474898,10.0006409,4.128734,606.29113125,0.5726498705882352,4.292673,579.7159312499999,0.5907614176470588,False,4.128734,606.29113125,0.5726498705882352,True
"(16957967, 206870173)",53.5630545,9.9570052,53.5733535,9.9538951,1.484949,269.2189,0.21650666470588237,1.484949,269.2189,0.21650666470588237,True,1.484949,269.2189,0.21650666470588237,True
"(26729284, 20238290)",53.5473284,10.0021389,53.5728112,9.9939788,3.6511310000000003,432.83926875,0.47608957058823537,4.232285,428.0860375,0.5337755588235295,False,3.6511310000000003,432.83926875,0.47608957058823537,True
"(16712070, 18653519)",53.5638814,9.9846863,53.5596965,9.9821722,1.410967,183.63524999999998,0.18583787647058825,1.410967,183.63524999999998,0.18583787647058825,True,1.410967,183.63524999999998,0.18583787647058825,True
"(5249032053, 250385909)",53.5572225,9.9639493,53.5474898,10.0006409,2.960585,502.67761249999995,0.43584673529411766,2.9731549999999998,413.77666875,0.41627432352941174,False,2.9731549999999998,413.77666875,0.41627432352941174,False
"(299329195, 164010989)",53.5692913,9.9662224,53.5736214,9.9622301,0.8493440000000001,94.58038125,0.10712851764705884,0.9151500000000001,85.62213125,0.11521500000000001,False,0.8493440000000001,94.58038125,0.10712851764705884,True
"(229342111, 1369986479)",53.5705037,9.9762371,53.5436464,10.0020746,4.13936,743.5197875,0.6136183529411765,4.13936,743.5197875,0.6136183529411765,True,4.13936,743.5197875,0.6136183529411765,True
"(4455431689, 499471943)",53.5472497,9.9889962,53.567325,10.0012113,3.0738049999999997,497.63368125,0.4390746176470588,3.0738049999999997,497.63368125,0.4390746176470588,True,3.0738049999999997,497.63368125,0.4390746176470588,True
"(164010989, 1506299250)",53.5736214,9.9622301,53.5489649,9.9529689,3.5357570000000003,549.38375625,0.49539922941176473,3.5357570000000003,549.38375625,0.49539922941176473,True,3.5357570000000003,549.38375625,0.49539922941176473,True
"(297206577, 87985973)",53.5715816,9.9743668,53.5487118,9.9651218,3.2200349999999993,536.7881249999999,0.44835055882352937,3.2310709999999996,527.829875,0.4509600411764706,False,3.2200349999999993,536.7881249999999,0.44835055882352937,True
"(28842154, 33398377)",53.5598969,9.9944255,53.571286,9.9529437,3.2429959999999998,459.96067500000004,0.45175254117647057,3.2429959999999998,459.96067500000004,0.45175254117647057,True,3.2429959999999998,459.96067500000004,0.45175254117647057,True
"(757036954, 3223500068)",53.5440592,9.9978191,53.5734486,9.958647,5.160528,788.22650625,0.7369351529411765,5.160528,788.22650625,0.7369351529411765,True,5.160528,788.22650625,0.7369351529411765,True
"(52183950, 1561539048)",53.5501134,9.9694213,53.560283,10.0117693,3.499338,508.207275,0.4924867411764706,3.499338,508.207275,0.4924867411764706,True,3.499338,508.207275,0.4924867411764706,True
"(52183950, 249708187)",53.5501134,9.9694213,53.5411564,9.9998072,2.610100000000001,474.3737,0.39042176470588247,2.811885,429.48349375,0.3941767352941177,False,2.610100000000001,474.3737,0.39042176470588247,True
"(205069904, 1747120465)",53.5534624,9.9989416,53.5445618,10.0064615,2.041896,443.41078749999997,0.3244660705882353,2.095251,400.69385,0.3174662764705882,False,2.095251,400.69385,0.3174662764705882,False
"(33406794, 266199654)",53.5727595,9.9756236,53.5572424,9.992951,2.1680680000000003,374.48831874999996,0.3191597411764706,2.1680680000000003,374.48831874999996,0.3191597411764706,True,2.1680680000000003,374.48831874999996,0.3191597411764706,True
"(2588659060, 20830207)",53.5578573,9.9772841,53.5705593,9.9951231,2.5787039999999997,539.77215625,0.3879527529411765,2.7632650000000005,370.9442875,0.3816617941176471,False,2.7632650000000005,370.9442875,0.3816617941176471,False
"(20245547, 469811652)",53.5617806,9.9621055,53.5655408,9.9784733,1.7496,209.84078125,0.22528941176470588,1.7496,209.84078125,0.22528941176470588,True,1.7496,209.84078125,0.22528941176470588,True
