od,start_latitude,start_longitude,end_latitude,end_longitude,length_km_shortest_path,interv_dist_shortest_path,co2_shortest_path,length_km_best_interv_dist,interv_dist_best_interv_dist,co2_best_interv_dist,best_interv_dist_is_shortest,length_km_best_co2,interv_dist_best_co2,co2_best_co2,best_co2_is_shortest
"(52707275, 1983285273)",53.5545975,9.9584162,53.5497944,9.9861173,2.382323,181.73149999999998,0.4418323,2.673506,170.8147,0.4445506000000001,False,2.382323,181.73149999999998,0.4418323,True
"(203903342, 61221089)",53.5486084,10.0008671,53.5519609,9.9672594,2.5788779999999996,146.2215,0.4414878,2.5788779999999996,146.2215,0.4414878,True,2.5788779999999996,146.2215,0.4414878,True
"(757036909, 63618297)",53.5434407,9.9951469,53.5512872,9.9577783,3.1249329999999995,210.2753,0.5640933,3.1249329999999995,210.2753,0.5640933,True,3.1249329999999995,210.2753,0.5640933,True
"(20245547, 18130098)",53.5617806,9.9621055,53.5455268,9.9843797,2.818235,171.867,0.5186235,2.818235,171.867,0.5186235,True,2.818235,171.867,0.5186235,True
"(29547198, 52708024)",53.5708267,9.9565814,53.5569044,9.9583342,1.8289220000000002,117.7885,0.31289220000000006,1.8289220000000002,117.7885,0.31289220000000006,True,1.8289220000000002,117.7885,0.31289220000000006,True
"(20830205, 243508389)",53.5706045,9.9929075,53.5473099,9.9949544,3.093258,184.4082,0.5238258,3.093258,184.4082,0.5238258,True,3.093258,184.4082,0.5238258,True
"(2516080625, 21423298)",53.5407469,10.0039424,53.5567513,9.973755,3.3508579999999992,350.8133,0.7059857999999999,4.0120949999999995,255.5922,0.6837095,False,3.3576969999999995,316.9693,0.6753697,False
"(3847369274, 18653519)",53.5421634,9.9960842,53.5596965,9.9821722,2.7475609999999997,214.618,0.5259561,2.7475609999999997,214.618,0.5259561,True,2.7475609999999997,214.618,0.5259561,True
"(264950387, 1506769104)",53.5544689,9.9905305,53.5471277,9.9536853,3.0583730000000005,181.6739,0.5486373000000001,3.0583730000000005,181.6739,0.5486373000000001,True,3.0583730000000005,181.6739,0.5486373000000001,True
"(164018116, 205083191)",53.5720777,9.9590537,53.550023,9.9938797,4.261643000000001,308.4939,0.7689643000000002,4.322076,206.3779,0.6679076,False,4.322076,206.3779,0.6679076,False
"(674455339, 76463158)",53.560059,9.9894837,53.5427736,9.9850464,2.527115,269.8247,0.4805115,2.71439,225.38240000000002,0.517239,False,2.5823289999999997,270.7685,0.47723289999999996,False
"(757036791, 18161562)",53.5457308,10.0027836,53.5671692,9.9571256,4.693448,229.566,0.8101448,5.267405,198.4563,0.8128405000000001,False,5.106204,209.22070000000002,0.7815204,False
"(25075703, 93195000)",53.5466853,9.9865002,53.5541754,10.0116267,2.323462,232.4687,0.5000462000000001,2.323462,232.4687,0.5000462000000001,True,2.323462,232.4687,0.5000462000000001,True
"(18653564, 21450341)",53.546039,9.981385,53.5576897,9.9725389,2.1697159999999998,193.7858,0.3673716,2.1697159999999998,193.7858,0.3673716,True,2.1697159999999998,193.7858,0.3673716,True
"(20830205, 2516080625)",53.5706045,9.9929075,53.5407469,10.0039424,3.9893700000000005,226.047,0.6814370000000001,3.9893700000000005,226.047,0.6814370000000001,True,3.9893700000000005,226.047,0.6814370000000001,True
"(20243512, 87991791)",53.5643632,9.9819897,53.5475279,9.959721,2.9528000000000003,198.02700000000002,0.5161800000000001,2.9528000000000003,198.02700000000002,0.5161800000000001,True,2.9528000000000003,198.02700000000002,0.5161800000000001,True
"(1524487555, 52172612)",53.5559868,9.9793768,53.5471938,9.9662783,1.6105140000000004,67.56349999999999,0.23185140000000007,1.6105140000000004,67.56349999999999,0.23185140000000007,True,1.6105140000000004,67.56349999999999,0.23185140000000007,True
"(36571734, 308718205)",53.551189,9.9822209,53.5497114,9.9994941,1.967091,204.5365,0.3639091,2.0986219999999998,181.5654,0.3891622,False,2.0178629999999997,239.0474,0.3629863,False
"(93195007, 16956679)",53.5551545,10.0098174,53.5692009,9.9740677,3.10755,202.4805,0.525655,3.10755,202.4805,0.525655,True,3.10755,202.4805,0.525655,True
"(52707275, 8541234721)",53.5545975,9.9584162,53.5651187,9.9649832,1.8643129999999999,177.28029999999998,0.3220313,1.963155,149.1911,0.3280155,False,1.944476,174.32670000000002,0.30044760000000004,False
"(25737304, 297242778)",53.5432539,9.9933577,53.564322,9.9622224,3.935659,299.86609999999996,0.7028659,4.018088,259.5565,0.7214088,False,3.935659,299.86609999999996,0.7028659,True
"(481220563, 87966223)",53.5632536,9.9605576,53.5510524,9.9676498,1.5584550000000001,97.06479999999999,0.2583455,1.5584550000000001,97.06479999999999,0.2583455,True,1.5584550000000001,97.06479999999999,0.2583455,True
"(18653519, 16956679)",53.5596965,9.9821722,53.5692009,9.9740677,1.446835,105.5402,0.23908350000000003,1.446835,105.5402,0.23908350000000003,True,1.446835,105.5402,0.23908350000000003,True
"(6451192805, 63627468)",53.5483819,9.9969232,53.5510578,9.9649999,2.2630619999999997,117.6201,0.40110619999999997,2.2630619999999997,117.6201,0.40110619999999997,True,2.2630619999999997,117.6201,0.40110619999999997,True
"(63618297, 87989423)",53.5512872,9.9577783,53.5476801,9.9628071,1.0335329999999998,90.25540000000001,0.19775329999999997,1.0335329999999998,90.25540000000001,0.19775329999999997,True,1.0335329999999998,90.25540000000001,0.19775329999999997,True
"(76463178, 20823484)",53.5436098,10.001932,53.567535,9.9585321,4.8361480000000014,286.42269999999996,0.8712148000000002,5.255643999999999,259.27959999999996,0.8313644,False,5.255643999999999,259.27959999999996,0.8313644,False
"(52181920, 53120722)",53.5489111,9.9741521,53.5640419,9.9771173,2.424518,228.79289999999997,0.4781518,2.5278389999999997,213.74339999999998,0.4648839,False,2.5278389999999997,213.74339999999998,0.4648839,False
"(674455339, 205068512)",53.560059,9.9894837,53.5538759,9.9981383,1.334834,112.6704,0.2278834,1.59029,90.25540000000001,0.253429,False,1.334834,112.6704,0.2278834,True
"(34022781, 122590926)",53.5502083,9.9902177,53.5629072,9.9609303,3.0661939999999994,133.5695,0.5230194,3.0661939999999994,133.5695,0.5230194,True,3.0661939999999994,133.5695,0.5230194,True
"(25737304, 20948563)",53.5432539,9.9933577,53.5734712,9.9745104,4.449838000000001,395.3641,0.8613838,5.312600000000001,366.7627,0.9486600000000001,False,4.449838000000001,395.3641,0.8613838,True
"(41756640, 7437784481)",53.5703248,9.9885108,53.5734053,9.9630617,2.369805,152.85320000000002,0.40818050000000006,2.3942840000000003,133.11489999999998,0.4166284,False,2.369805,152.85320000000002,0.40818050000000006,True
"(266199067, 18161562)",53.5576058,9.9930987,53.5671692,9.9571256,3.135234,148.27519999999998,0.5136234,3.135234,148.27519999999998,0.5136234,True,3.135234,148.27519999999998,0.5136234,True
"(52709680, 76463178)",53.5558033,9.9578584,53.5436098,10.001932,3.754039,308.6184,0.7002039,3.754039,308.6184,0.7002039,True,3.754039,308.6184,0.7002039,True
"(3032426990, 77777643)",53.5464827,9.9700038,53.5456703,9.9971936,2.111079,106.9825,0.3091079,2.219248,98.11940000000001,0.3051248,False,2.219248,98.11940000000001,0.3051248,False
"(266199670, 205068921)",53.5575023,9.9931739,53.5520806,9.9979424,1.0438329999999998,66.73049999999999,0.1783833,1.0438329999999998,66.73049999999999,0.1783833,True,1.0438329999999998,66.73049999999999,0.1783833,True
"(93195007, 77777643)",53.5551545,10.0098174,53.5456703,9.9971936,1.9009369999999999,232.8587,0.40669370000000005,1.9009369999999999,232.8587,0.40669370000000005,True,1.9009369999999999,232.8587,0.40669370000000005,True
"(299329195, 63618297)",53.5692913,9.9662224,53.5512872,9.9577783,2.6711609999999997,266.8711,0.4604161,2.8164509999999994,208.2792,0.48244509999999996,False,2.6711609999999997,266.8711,0.4604161,True
"(353900197, 32206485)",53.5680843,9.9907522,53.5576228,9.9837969,1.854784,161.95159999999998,0.34787840000000003,1.854784,161.95159999999998,0.34787840000000003,True,1.854784,161.95159999999998,0.34787840000000003,True
"(370038609, 18161556)",53.5705531,9.9830854,53.5690523,9.9665865,2.0539880000000004,174.756,0.37659880000000007,2.0539880000000004,174.756,0.37659880000000007,True,2.0539880000000004,174.756,0.37659880000000007,True
"(21074938, 82661975)",53.5648822,9.9945456,53.546389,9.9561618,4.095901,205.1988,0.6727901,4.095901,205.1988,0.6727901,True,4.095901,205.1988,0.6727901,True
"(13870880, 18652834)",53.5548102,10.0063504,53.5742652,9.988709,2.872324,98.1171,0.4493324,2.872324,98.1171,0.4493324,True,2.872324,98.1171,0.4493324,True
"(41756640, 1983285273)",53.5703248,9.9885108,53.5497944,9.9861173,2.4271450000000003,180.6216,0.43081450000000004,2.4271450000000003,180.6216,0.43081450000000004,True,2.4271450000000003,180.6216,0.43081450000000004,True
"(246348622, 164018116)",53.5522142,9.9772894,53.5720777,9.9590537,3.325177,272.72069999999997,0.6193177000000001,3.600913,165.4706,0.5856913,False,3.4397020000000005,211.4544,0.5680702000000001,False
"(36571734, 248753448)",53.551189,9.9822209,53.5449227,10.0000024,2.1162659999999995,164.07449999999997,0.3426266,2.216576,156.709,0.3664576,False,2.1162659999999995,164.07449999999997,0.3426266,True
"(16956679, 3032426990)",53.5692009,9.9740677,53.5464827,9.9700038,2.9315489999999995,151.6994,0.47565489999999994,2.9315489999999995,151.6994,0.47565489999999994,True,2.9315489999999995,151.6994,0.47565489999999994,True
"(21654999, 20830205)",53.548029,10.0082544,53.5706045,9.9929075,3.3539639999999995,217.14229999999998,0.5558964,3.4830419999999997,204.1026,0.5836042,False,3.3539639999999995,217.14229999999998,0.5558964,True
"(20830205, 353900197)",53.5706045,9.9929075,53.5680843,9.9907522,0.361748,6.1864,0.0498748,0.361748,6.1864,0.0498748,True,0.361748,6.1864,0.0498748,True
"(205067293, 52708013)",53.5530016,9.9964522,53.5519165,9.9561718,3.80106,269.421,0.6763060000000001,4.018731999999999,224.33709999999996,0.7175731999999999,False,3.80106,269.421,0.6763060000000001,True
"(20948570, 20245547)",53.5697546,9.9704199,53.5617806,9.9621055,1.3258850000000002,68.7842,0.21818850000000004,1.3258850000000002,68.7842,0.21818850000000004,True,1.3258850000000002,68.7842,0.21818850000000004,True
"(25737301, 3032426990)",53.545959,10.0030688,53.5464827,9.9700038,2.4927129999999997,126.7185,0.4152713,2.4927129999999997,126.7185,0.4152713,True,2.4927129999999997,126.7185,0.4152713,True
"(87996299, 205083191)",53.5489729,9.9598774,53.550023,9.9938797,2.807749,190.27609999999999,0.4430749,2.807749,190.27609999999999,0.4430749,True,2.807749,190.27609999999999,0.4430749,True
"(16738072, 757036791)",53.5605564,9.99089,53.5457308,10.0027836,2.2796260000000004,196.8918,0.44956260000000003,2.2796260000000004,196.8918,0.44956260000000003,True,2.2796260000000004,196.8918,0.44956260000000003,True
"(21074938, 1983285273)",53.5648822,9.9945456,53.5497944,9.9861173,1.896593,143.99009999999998,0.3509593,2.4010380000000002,126.9285,0.40850380000000003,False,1.896593,143.99009999999998,0.3509593,True
"(205067293, 203902488)",53.5530016,9.9964522,53.5474526,10.0007803,0.977125,71.46090000000001,0.1942125,0.977125,71.46090000000001,0.1942125,True,0.977125,71.46090000000001,0.1942125,True
"(203902488, 20830205)",53.5474526,10.0007803,53.5706045,9.9929075,3.6237699999999995,155.876,0.5201769999999999,3.6237699999999995,155.876,0.5201769999999999,True,3.6237699999999995,155.876,0.5201769999999999,True
"(16956679, 20830205)",53.5692009,9.9740677,53.5706045,9.9929075,1.6325129999999999,94.15279999999998,0.2833513,1.6325129999999999,94.15279999999998,0.2833513,True,1.6325129999999999,94.15279999999998,0.2833513,True
